panel_id,week,tg,ii,age,income,education,gender,t_kakao_talk,t_anipang,t_kakao_story,t_kakao_game,n_kakao_game,t_non_kakao_game,n_non_kakao_game,t_non_kakao_story,n_non_kakao_story,t_non_kakao_talk,n_non_kakao_talk,t_non_kakao,n_non_kakao
10944,1,0,0,2,2,4,Male,16959,0,0,0,0,31354,1,1332,1,1215,1,83567,25
10944,2,0,0,2,2,4,Male,15175,0,4,0,0,52854,2,1267,1,399,1,114228,20
11051,1,0,0,3,4,4,Female,5062,0,279,0,0,7824,3,51,1,2353,3,23855,32
11051,2,0,0,3,4,4,Female,2686,0,1892,0,0,1428,2,0,0,14910,2,26198,19
11113,1,0,0,3,4,4,Female,11465,0,0,0,0,2847,3,0,0,5502,3,43285,44
11113,2,0,0,3,4,4,Female,6607,0,0,0,0,4613,1,0,0,4981,4,53919,42
11122,1,0,0,3,3,4,Male,10656,0,4148,0,0,4560,1,0,0,1391,3,10502,15
11122,2,0,0,3,3,4,Male,267,0,3393,0,0,4873,1,0,0,486,2,6299,10
11139,1,0,0,5,2,2,Female,21324,0,83,0,0,6005,1,0,0,3912,3,14254,19
11139,2,0,0,5,2,2,Female,18530,0,0,0,0,1233,1,0,0,3895,1,10059,13
11179,1,0,0,3,3,4,Male,20127,0,298,0,0,0,0,0,0,2286,2,29792,24
11179,2,0,0,3,3,4,Male,21232,0,106,0,0,0,0,0,0,2749,1,13068,27
11205,1,0,0,3,2,2,Female,3829,0,6879,0,0,0,0,0,0,2373,2,28170,15
11205,2,0,0,3,2,2,Female,9555,0,8364,0,0,0,0,0,0,762,3,6769,21
11208,1,0,0,4,2,2,Male,115,0,314,0,0,139,1,118,1,306,1,13782,10
11208,2,0,0,4,2,2,Male,279,0,55,0,0,2302,1,0,0,148,1,3605,4
11239,1,0,0,1,1,3,Female,296,0,0,0,0,63652,7,0,0,124,1,159257,29
11239,2,0,0,1,1,3,Female,1708,0,0,0,0,19558,3,0,0,313,1,127847,24
11241,1,0,0,1,3,1,Male,3715,0,0,0,0,21661,4,10155,1,2841,2,57741,32
11241,2,0,0,1,3,1,Male,2681,0,0,0,0,31932,6,8354,1,906,3,54101,39
11246,1,0,0,5,2,2,Female,21324,0,83,0,0,6005,1,0,0,3912,3,14254,19
11246,2,0,0,5,2,2,Female,18530,0,0,0,0,1233,1,0,0,3895,1,10059,13
1125,1,0,0,3,3,4,Male,219,0,307,0,0,1188,1,0,0,97,1,4303,10
1125,2,0,0,3,3,4,Male,969,0,754,0,0,1302,3,0,0,6789,1,17628,26
11267,1,0,0,5,2,2,Female,0,0,0,0,0,0,0,0,0,3057,1,10254,6
11267,2,0,0,5,2,2,Female,0,0,0,0,0,0,0,0,0,4492,1,39898,9
1127,1,0,0,3,4,4,Male,767,0,0,0,0,39,1,0,0,2195,2,13145,22
1127,2,0,0,3,4,4,Male,487,0,0,0,0,0,0,0,0,2947,1,34329,19
11336,1,0,0,1,4,1,Male,702,0,0,0,0,76831,7,237,1,1124,1,226305,27
11336,2,0,0,1,4,1,Male,114,0,0,326,1,9238,7,144,1,563,1,165105,30
11340,1,0,0,1,4,1,Male,28386,0,9053,0,0,5805,3,30,1,752,2,48545,23
11340,2,0,0,1,4,1,Male,46243,0,24422,0,0,589,3,0,0,176,3,45713,23
11341,1,0,0,1,3,1,Male,3715,0,0,0,0,21661,4,10155,1,2841,2,57741,32
11341,2,0,0,1,3,1,Male,2681,0,0,0,0,31932,6,8354,1,906,3,54101,39
11361,1,0,0,3,4,4,Male,257,0,0,0,0,0,0,0,0,4082,3,19114,15
11361,2,0,0,3,4,4,Male,849,0,0,0,0,0,0,0,0,526,3,958,9
